season,stage,home_team,away_team,actual_winner,p_home_advances,home_elo,away_elo,model_pick,correct,brier,log_loss,prediction_date
2020/2021,R16,Lazio,Bayern Munich,Bayern Munich,0.0494,1770.6,2040.2,Bayern Munich,True,0.0024,0.0507,2021-02-23
2020/2021,R16,Barcelona,PSG,PSG,0.6662,1931.2,1867.1,Barcelona,False,0.4438,1.0972,2021-02-16
2020/2021,R16,Borussia M'Gladbach,Manchester City,Manchester City,0.0724,1789.7,2025.8,Manchester City,True,0.0052,0.0752,2021-02-24
2020/2021,R16,Sevilla,Borussia Dortmund,Borussia Dortmund,0.6204,1863.6,1817.8,Sevilla,False,0.3849,0.9686,2021-02-17
2020/2021,R16,Atalanta,Real Madrid,Real Madrid,0.3018,1830.8,1902.8,Real Madrid,True,0.0911,0.3592,2021-02-24
2020/2021,R16,RB Leipzig,Liverpool,Liverpool,0.3598,1878.0,1925.3,Liverpool,True,0.1295,0.446,2021-02-16
2020/2021,R16,FC Porto,Juventus,FC Porto,0.295,1792.7,1868.1,Juventus,False,0.497,1.2208,2021-02-17
2020/2021,R16,Atletico Madrid,Chelsea,Chelsea,0.6524,1921.3,1865.5,Atletico Madrid,False,0.4256,1.0567,2021-02-23
2020/2021,QF,Bayern Munich,PSG,PSG,0.8434,2028.9,1872.2,Bayern Munich,False,0.7113,1.8541,2021-04-07
2020/2021,QF,Manchester City,Borussia Dortmund,Manchester City,0.9126,2026.4,1814.6,Manchester City,True,0.0076,0.0915,2021-04-06
2020/2021,QF,Real Madrid,Liverpool,Real Madrid,0.5394,1926.2,1908.9,Real Madrid,True,0.2122,0.6173,2021-04-06
2020/2021,QF,FC Porto,Chelsea,Chelsea,0.3234,1803.8,1871.7,Chelsea,True,0.1046,0.3907,2021-04-07
2020/2021,SF,PSG,Manchester City,Manchester City,0.155,1884.8,2027.3,Manchester City,True,0.024,0.1684,2021-04-28
2020/2021,SF,Real Madrid,Chelsea,Chelsea,0.6508,1942.6,1885.0,Real Madrid,False,0.4235,1.0521,2021-04-27
2020/2021,Final,Manchester City,Chelsea,Chelsea,0.726,2025.8,1910.7,Manchester City,False,0.5271,1.2946,2021-05-29
2021/2022,R16,Benfica,Ajax,Benfica,0.1384,1746.6,1905.8,Ajax,False,0.7424,1.9776,2022-02-23
2021/2022,R16,Inter,Liverpool,Liverpool,0.1998,1882.4,2004.2,Liverpool,True,0.0399,0.2229,2022-02-16
2021/2022,R16,Villarreal,Juventus,Villarreal,0.4366,1809.9,1826.3,Juventus,False,0.3174,0.8287,2022-02-22
2021/2022,R16,RB Salzburg,Bayern Munich,Bayern Munich,0.0648,1773.4,2018.1,Bayern Munich,True,0.0042,0.067,2022-02-16
2021/2022,R16,Sporting CP,Manchester City,Manchester City,0.054,1758.4,2022.6,Manchester City,True,0.0029,0.0555,2022-02-15
