param,value,n,hit_rate,brier,delta_hit_rate
POISSON_AVG_GOALS,2.3,83,0.6386,0.2207,0.0
POISSON_AVG_GOALS,2.5,83,0.6386,0.2207,0.0
POISSON_AVG_GOALS,2.7,83,0.6386,0.2207,0.0
POISSON_AVG_GOALS,2.9,83,0.6386,0.2207,0.0
POISSON_AVG_GOALS,3.1,83,0.6386,0.2207,0.0
UCL_HOME_ADVANTAGE_ELO,30.0,83,0.5904,0.2235,-0.0482
UCL_HOME_ADVANTAGE_ELO,50.0,83,0.6386,0.2216,0.0
UCL_HOME_ADVANTAGE_ELO,65.0,83,0.6386,0.2207,0.0
UCL_HOME_ADVANTAGE_ELO,80.0,83,0.6145,0.2208,-0.0241
UCL_HOME_ADVANTAGE_ELO,100.0,83,0.6386,0.2194,0.0
KNOCKOUT_PENALTY_ADVANTAGE,0.5,83,0.6386,0.2207,0.0
KNOCKOUT_PENALTY_ADVANTAGE,0.525,83,0.6386,0.2207,0.0
KNOCKOUT_PENALTY_ADVANTAGE,0.55,83,0.6386,0.2207,0.0
KNOCKOUT_PENALTY_ADVANTAGE,0.575,83,0.6386,0.2207,0.0
KNOCKOUT_PENALTY_ADVANTAGE,0.6,83,0.6386,0.2207,0.0
